repeat,seed,model,split,n_train,n_valid,n_test,train_scaffolds,valid_scaffolds,test_scaffolds,r2,rmse,mae
0,11,XGB_rich_scaffold,valid,2991,642,567,1684,362,362,0.7066055536270142,0.6777135092741583,0.5296308994293213
0,11,XGB_rich_scaffold,test,2991,642,567,1684,362,362,0.7092225551605225,0.6506181152961565,0.502469539642334
0,11,CatBoost_rich_scaffold,valid,2991,642,567,1684,362,362,0.6910080980581115,0.6954945648832265,0.5430391225759839
0,11,CatBoost_rich_scaffold,test,2991,642,567,1684,362,362,0.6838711617624642,0.6783874954567788,0.5303468633205618
0,11,PyTorch_MLP_rich_scaffold,valid,2991,642,567,1684,362,362,0.7189443111419678,0.6633097702023393,0.5128037333488464
0,11,PyTorch_MLP_rich_scaffold,test,2991,642,567,1684,362,362,0.7002460956573486,0.6605842151160346,0.49339351058006287
0,11,Weighted_Ensemble_scaffold,valid,2991,642,567,1684,362,362,0.7406789064407349,0.6371461568818125,0.5022512674331665
0,11,Weighted_Ensemble_scaffold,test,2991,642,567,1684,362,362,0.7348171472549438,0.6213244843301362,0.47337576746940613
0,11,XGB_baseline_scaffold,valid,2991,642,567,1684,362,362,0.6762834787368774,0.7118731619096961,0.5493860244750977
0,11,XGB_baseline_scaffold,test,2991,642,567,1684,362,362,0.654833972454071,0.708858888728558,0.5529466271400452
1,23,XGB_rich_scaffold,valid,2775,648,777,1684,362,362,0.6480751037597656,0.6829982888897062,0.5325412154197693
1,23,XGB_rich_scaffold,test,2775,648,777,1684,362,362,0.7059587240219116,0.7315211339545493,0.5648656487464905
1,23,CatBoost_rich_scaffold,valid,2775,648,777,1684,362,362,0.6515767528304657,0.6795919071661444,0.5330817296542013
1,23,CatBoost_rich_scaffold,test,2775,648,777,1684,362,362,0.7058654724343438,0.7316370858921343,0.5600536481143663
1,23,PyTorch_MLP_rich_scaffold,valid,2775,648,777,1684,362,362,0.6114110946655273,0.7176948348622878,0.5528197884559631
1,23,PyTorch_MLP_rich_scaffold,test,2775,648,777,1684,362,362,0.7342390418052673,0.6954538223148945,0.5405886769294739
1,23,Weighted_Ensemble_scaffold,valid,2775,648,777,1684,362,362,0.6694775819778442,0.6619041822590369,0.5202903151512146
1,23,Weighted_Ensemble_scaffold,test,2775,648,777,1684,362,362,0.7366366386413574,0.6923096568383359,0.5327457189559937
1,23,XGB_baseline_scaffold,valid,2775,648,777,1684,362,362,0.635737419128418,0.6948673880939544,0.5396897792816162
1,23,XGB_baseline_scaffold,test,2775,648,777,1684,362,362,0.6885502338409424,0.7528643746751258,0.5850265026092529
2,37,XGB_rich_scaffold,valid,2938,592,670,1684,362,362,0.6658400297164917,0.6880200326603503,0.5138444900512695
2,37,XGB_rich_scaffold,test,2938,592,670,1684,362,362,0.6550676226615906,0.7014183737492448,0.5248920321464539
2,37,CatBoost_rich_scaffold,valid,2938,592,670,1684,362,362,0.6321421388327613,0.7218780996022545,0.5395827339105754
2,37,CatBoost_rich_scaffold,test,2938,592,670,1684,362,362,0.6455116446546522,0.7110680048712581,0.5321340063677421
2,37,PyTorch_MLP_rich_scaffold,valid,2938,592,670,1684,362,362,0.6581021547317505,0.6959403557241334,0.5120237469673157
2,37,PyTorch_MLP_rich_scaffold,test,2938,592,670,1684,362,362,0.6755132675170898,0.6803127788916363,0.5025132894515991
2,37,Weighted_Ensemble_scaffold,valid,2938,592,670,1684,362,362,0.6856915950775146,0.6672704292234286,0.4928973913192749
